complaint, summary
"WHILE DRIVING, THE CONTACT EXPERIENCED A SUDDEN LOSS OF POWER. THE VEHICLE WAS ABLE TO BE RESTARTED. THE CONTACT ALSO STATED THAT THE VEHICLE WOULD INTERMITTENTLY STALL WHILE DRIVING AT VARIOUS SPEEDS. THE CONTACT STATED THAT THE FAILURE OCCURRED INTERMITTENTLY. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS 125,000.","Sudden loss of power and intermittent stalling while driving."
"WHILE DRIVING ON THE INTERSTATE, I WAS GOING 60 MILES PER HOUR WHEN THE ENGINE SUDDENLY STOPPED AND I HAD TO COAST TO THE SIDE OF THE ROAD. THE OIL PRESSURE GAUGE NEVER REGISTERED ANYTHING WRONG BUT THE ENGINE STOPPED. THE DEALER STATED THAT IT WAS A FAULTY CRANKSHAFT POSITION SENSOR.","Engine stalled while driving on interstate, diagnosed as faulty crankshaft position sensor."
"WHILE DRIVING ON A CITY STREET, THE VEHICLE SUDDENLY STOPPED IN THE MIDDLE OF THE ROAD. THE VEHICLE WAS TAKEN TO AN INDEPENDENT MECHANIC WHO DIAGNOSED THAT THE CAM SHAFT SENSOR NEEDED TO BE REPLACED. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS NOT NOTIFIED OF THE FAILURE. THE FAILURE MILEAGE WAS 143,000.","Vehicle stalled in the middle of the road, diagnosed as camshaft sensor failure."
"WHILE DRIVING AT UNKNOWN SPEEDS, THE CHECK ENGINE WARNING LIGHT ILLUMINATED AND THE VEHICLE SUDDENLY STALLED. THE CONTACT WAS ABLE TO RESTART THE VEHICLE. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS APPROXIMATELY 127,000.","Check engine light illuminated and vehicle stalled while driving."
"After parking the vehicle, the tailgate window exploded, glass flew 15 feet, windshield wiper assembly hit consumer in chest, glass flew into eyes. Consumer chose new vehicle due to injuries.","Tailgate window exploded upon parking, causing injuries; Consumer opted for replacement vehicle."
"Vehicle veered off the road at 75mph, another vehicle hit from behind, front rear Goodyear tire exploded, dual airbags deployed halfway.","High-speed incident resulted in veering off road, tire explosion, partial airbag deployment."
"Locking mechanism for right side shoulder restraint fell off.","Right side shoulder restraint locking mechanism detached."
"Vehicle becomes hard to control when hitting bumps, dealership refused to inspect, consumer replaced tires at own cost.","Vehicle difficult to control over bumps, dealership declined inspection, consumer replaced tires."
"Bracket and spring holding hatchback window up broke off, causing left side of window to nearly drop into frame.","Bracket and spring failure led to hatchback window nearly dropping."
"Back window raised then exploded upon touching, causing cuts on arms and wrists.","Back window raised then exploded upon touch, causing arm and wrist cuts."
"Rear window exploded upon closing, fortunate no injuries sustained.","Rear window exploded upon closure, no injuries reported."
"Driver's side tail light wiring malfunctioned, causing a fire, resulting in total loss of vehicle.","Driver's side tail light wiring malfunction caused fire, resulting in total loss."
"Vehicle lacks transmission fluid indicator slot, dealer unable to locate, consumer unable to check fluid level.","Missing transmission fluid indicator, dealer unable to assist, consumer unable to check fluid."
"When applying ABS brakes, pedal goes to floor, causing extended stopping distance, particularly on wet pavement.","ABS brakes cause pedal to go to floor, increasing stopping distance on wet pavement."
"Air bag warning light remains illuminated due to defective air bag module.","Air bag warning light stays on due to defective module."
"Noise in steering column, dealer refused to fix as vehicle not purchased there.","Steering column noise unresolved as dealer refused repair."
"Hard braking on wet pavement engaged ABS, brakes wouldn't release, had to manually release pedal.","Hard braking on wet pavement engaged ABS, brakes wouldn't release automatically."
"Hydraulic arm holding up hatchback window broke, pressure caused window to explode out, door panel moved away from frame.","Hydraulic arm failure caused hatchback window to explode, door panel moved away from frame."
"Plunger holding hatchback window open fell off due to design defect, causing window to crash down on consumer, resulting in head and neck injuries.","Plunger defect led to hatchback window crashing down, causing head and neck injuries."
"Consumer applied brakes at 20 mph, pedal went to the floor, no braking action, rear-ended another vehicle, no injuries, vehicle at dealership.","Brake failure at 20 mph caused rear-end collision, no injuries reported, vehicle at dealership."
"Gas pedal and brake pedal too close together, applied gas pedal instead of brakes, collided with dumpster.","Proximity of gas and brake pedals caused collision with dumpster."
"Dealership lost keys, onboard computer/security system prevented key remake, 4WD inoperable, waiting for back-ordered solenoid, 93 other 2002 owners awaiting parts for same problem.","Lost keys led to computer/security system issue, 4WD inoperable, parts on back order, numerous affected vehicles."
"Popping noises from left front end, steering column shaft, assembly, and wheel hub replaced but problem persists, manufacturer investigating.","Repeated repairs for popping noises from left front end, unresolved despite component replacements."
"Front seat lacks head rest support, posing risk of neck injury if hit by airbag.","Lack of head rest support in front seat increases risk of neck injury."
"Front end rattles over normal terrain, steering wheel has popping feel over bumps or turns, vehicle back for further testing at dealership.","Front end issues including rattling and popping feel during turns, under investigation by dealership."
"Gears stuck when changing from park to reverse after accident.","Gear shifting issue following accident."
"Vehicle stalls mostly when shifting from 3rd to 2nd gear, taken to dealer 8 times without resolution, manufacturer buying back vehicle.","Persistent stalling issue unresolved by multiple dealer visits, manufacturer repurchasing vehicle."
"Body mounts on left front loosen repeatedly, tightened by dealer multiple times, manufacturer buying back vehicle.","Repeated loosening of left front body mounts, unresolved by dealer repairs, manufacturer repurchasing vehicle."
"Tailgate window structure collapsed onto consumer's head while unloading groceries, resulting in cervical injuries.","Tailgate window structure collapse caused cervical injuries."
"Gears get stuck and are hard to change, vehicle involved in accident.","Gear shifting difficulty following accident."
"Sulphur smell enters car while driving, causing dizziness and nausea, unsuccessfully repaired by dealer multiple times.","Persistent sulphur smell in car, unresolved by multiple dealer repair attempts."
"Turbulence with back windows down causes roof shaking and ear-piercing noise, unresolved by dealer, manufacturer unresponsive.","Back window turbulence issue causing discomfort and noise, unresolved by dealer, manufacturer unresponsive."
"Second seat bolts missing, dealer contacted for resolution.","Missing bolts in second seat reported to dealer."
"Rear window piston shattered glass, causing superficial cuts, vehicle still unrepaired.","Rear window piston failure led to glass shattering, causing minor injuries, vehicle awaiting repair."
"Left strut on tailgate broke free, shattered rear window, potentially dangerous, dealer contacted.","Failure of left strut on tailgate caused shattering of rear window, posing safety risk."
"Both liftgate glass brackets broke, causing glass to fall onto consumer, sustaining cuts and bruises, dealer appointment scheduled for repairs.","Broken liftgate glass brackets led to glass falling onto consumer, causing injuries, dealer appointment set for repairs."
"Rough transition between gears, accompanied by clunk noise.","Rough gear transition with audible clunk."
"Rear window popped off hinge and shattered while opening, dealer contacted, left hinge missing threads for mounting.","Rear window hinge failure caused shattering, left hinge missing threads for mounting."
"Three out of five lug nuts sheared off, causing significant wobbling, potential for serious injury or accident.","Sheared lug nuts caused significant wobbling, posing serious safety risk."
"Brake pedal went to floor, experienced failure on three occasions, dealer replaced calipers and rotors.","Repetitive brake failure, dealer replaced calipers and rotors multiple times."
"Glass tailgate exploded, shattered rear window, metal components bent and scratched, consumer sustained leg cuts, vehicle replaced by dealer.","Glass tailgate explosion caused extensive damage and leg injuries, dealer replaced vehicle."
"Strong sulfur odor while stopped at a light, vehicle hesitates when pulling out into traffic, breathing problems reported.","Persistent sulfur odor and vehicle hesitation, causing breathing problems."
"Left hydraulic support bracket for rear window broke off three times.","Repeated failure of left hydraulic support bracket for rear window."
"Piston popped off tailgate window, denting inside top of vehicle, consumer stopped opening process.","Tailgate window piston failure caused denting, consumer halted opening process."
"Ice and slush entering door panels from under the vehicle causing doors to freeze shut.","Ice and slush ingress causing door freezing, posing operational issue."
"Intermittent engine failure while driving, accompanied by loss of power steering and flashing lights on dash, dealer unable to diagnose or repair.","Intermittent engine failure with loss of power steering and flashing lights, unresolved by dealer diagnostics."
"Intermittent steering lock-up while driving, dealer contacted for resolution.","Intermittent steering lock-up during driving, unresolved issue reported to dealer."
"Engine stalling and loss of power while driving, dealer found loose fuse and bad pressure sensor, issue persists.","Repeated engine stalling despite dealer repairs, unresolved issue with loose fuse and pressure sensor."
"Vehicle swaying left to right while driving, dealer diagnosed crooked rear axle tube.","Vehicle swaying issue attributed to crooked rear axle tube diagnosed by dealer."
"Acceleration problem causing vehicle to buck and jerk despite braking, dealer unable to diagnose issue.","Acceleration issue causing vehicle to buck and jerk despite braking, unresolved by dealer diagnosis."
"Acceleration problem causing vehicle to buck and jerk despite braking, dealer unable to diagnose issue.","Acceleration issue causing vehicle to buck and jerk despite braking, unresolved by dealer diagnosis."
"Engine surge while coming to a stop, leading to collision with interstate sign, PCM replacement recommended by dealer.","Engine surge during braking, resulting in collision, PCM replacement suggested by dealer."
"Toxic gas odor inside vehicle, consumer concerned about health implications.","Toxic gas odor inside vehicle causing health concerns."
"Power rear window lacks emergency stop feature, poses risk of crushing injuries.","Lack of emergency stop feature on power rear window poses risk of crushing injuries."
"Truck stalling after putting it in drive, resolved by regapping spark plugs and reprogramming computer.","Truck stalling issue resolved by spark plug regapping and computer reprogramming."
"Sudden acceleration of speed control from 65 to 95 mph, dealer unable to diagnose issue.","Unexplained acceleration of speed control, unresolved by dealer diagnostics."
"Right rear tire deflation while driving at 70 mph due to tire cut, dealer and Michelin contacted for resolution.","Right rear tire deflation due to tire cut, reported to dealer and Michelin."
"Door handles breaking repeatedly, posing risk of door failure in emergency situations, dealer unresponsive.","Repeated failure of door handles reported to dealer, posing safety risk in emergencies."
"Dim headlights making it difficult to view front of vehicle despite adjustments by mechanic.","Dim headlights persist despite mechanic adjustments, affecting visibility."
"Persistent metallic rattling from steering column despite multiple replacements, safety concern raised by consumer.","Persistent metallic rattling from steering column, unresolved despite dealer replacements, safety concern raised."
"Inadvertent airbag deployment causing minor injuries to driver, dealer unable to determine cause.","Inadvertent airbag deployment causing minor injuries, unresolved cause reported by dealer."
"Engine stalling while driving, remedied by module replacement and computer upgrade by dealership.","Engine stalling resolved by module replacement and computer upgrade at dealership."
"Vehicle rolling backwards unexpectedly after engine start while gear shift indicator in park, dealership not examined for problem.","Vehicle rolling backwards unexpectedly after engine start, dealership not yet examined for issue."
"Strong chemical odor in passenger compartment causing illness, cause undetermined despite dealer and manufacturer contact.","Chemical odor in passenger compartment causing illness, unresolved despite dealer and manufacturer contact."
"Failure of frontal airbags to deploy during crash at 25-30 mph, causing injuries to occupants, vehicle not inspected by dealership.","Frontal airbag failure to deploy during crash, causing injuries, vehicle not yet inspected by dealership."
"Violent vibrations while making left turn, feeling of unsafety reported by driver, no resolution provided.","Violent vibrations during left turn causing feeling of unsafety, unresolved issue."
"Brake failure at 20 mph resulting in rear-end collision, airbag non-deployment, no injuries reported, vehicle at dealership.","Brake failure causing rear-end collision, airbag non-deployment, vehicle undergoing repairs at dealership."
"Electrochromatic inside rearview mirror obscures forward vision, especially in turns and at intersections.","Electrochromatic inside rearview mirror obstructs forward vision during turns and at intersections."
"Smoky rearview mirror obscures view out the rear window.","Smoky rearview mirror obstructs view out the rear window."
"Improperly installed seat belt harnesses in vans used for transporting elderly and disabled persons, leading to safety concerns.","Improperly installed seat belt harnesses in vans used for transporting elderly and disabled persons, posing safety risks."
"Delays and issues with wheelchair floor tie-downs and rear heater placement in vans used for transporting elderly and disabled persons, safety concerns raised.","Delays and issues with wheelchair floor tie-downs and rear heater placement in vans used for transporting elderly and disabled persons, safety concerns reported."
"Head-on collision resulting in fire while driving at 30 mph, no further details provided.","Head-on collision resulting in fire, no further details provided."
"Manual tailgate window glass explosion while opening, causing interior damage, further details needed for re-evaluation.","Manual tailgate window glass explosion causing interior damage, re-evaluation needed for further details."
"Instant flame under hood and vehicle destruction following minor traffic accident, further details needed.","Instant flame under hood and vehicle destruction after minor traffic accident, further details needed."
"Clicking noise and jerking in transmission reported by consumer.","Clicking noise and jerking in transmission, reported by consumer."
"Vehicle fails to slow down when brakes applied at 45 mph, cruise control remains active, further details needed.","Vehicle fails to slow down when brakes applied, cruise control issue reported."
"Sulfur smell emitting from exhaust causing discomfort and health concerns, unresolved by dealership.","Sulfur smell emitting from exhaust, unresolved health concern reported."
"Steering becomes impossible to turn in any direction, known problem with defective seal reported by dealer.","Steering becomes impossible due to defective seal, dealer diagnosis."
"Liftgate blowing out and crashing on roof of truck while opening, causing damage, vehicle in repair for 14 days.","Liftgate blowing out and crashing on roof of truck, causing damage, vehicle in repair."
"Loud humming noise heard while stopped at light, dealer unable to identify problem.","Loud humming noise heard while stopped at light, dealer unable to diagnose."
"Strong rotten egg smell inside vehicle causing nausea and headaches, unresolved by dealer servicing.","Strong rotten egg smell inside vehicle causing health concerns, unresolved by dealer servicing."
"Sulfur smell from exhaust persists despite dealer inspection, no solution provided.","Sulfur smell from exhaust persists despite dealer inspection, no solution reported."
"Catalytic converter malfunction causing strong rotten egg smell, lemon law consideration due to safety concerns.","Catalytic converter malfunction causing strong rotten egg smell, lemon law consideration."
"Loud noise from rear due to suspension problems reported by consumer, dealer contact needed for further details.","Loud noise from rear due to suspension problems reported, further details needed."
"Head restraint position causing safety concerns for taller individuals, request for seat modification.","Head restraint position causing safety concerns, request for seat modification."
"Transmission delay and clunking issues, along with dim instrument lights, reported by consumer.","Transmission delay and clunking, along with dim instrument lights, reported."
"Frontal collision with non-deployment of airbags reported by consumer, further details needed.","Frontal collision with non-deployment of airbags, further details needed."
"Rear end window and door assembly opening unexpectedly, causing damage, further details needed.","Rear end window and door assembly opening unexpectedly, causing damage, further details needed."
"Burning oil odor inside cabin causing concern for vehicle fire, unresolved by dealership.","Burning oil odor inside cabin causing concern for vehicle fire, unresolved by dealership."
"Sudden vehicle stall without warning reported by consumer, further details needed.","Sudden vehicle stall without warning, further details needed."
"No description provided for reported issue, further details needed.","No description provided for reported issue, further details needed."
"Vehicle stall without warning, recurring issue despite dealer servicing, further details needed.","Vehicle stall without warning, recurring issue despite dealer servicing, further details needed."
"Vehicle stalling and transmission noise reported by consumer, further details needed.","Vehicle stalling and transmission noise reported, further details needed."
"Front brake sinking to floor and fluid leakage reported by consumer, further details needed.","Front brake sinking to floor and fluid leakage reported, further details needed."
"Engine stalling in low range gear when brakes applied, further details needed.","Engine stalling in low range gear when brakes applied, further details needed."
"Severe vibration reported by consumer, further details needed.","Severe vibration reported, further details needed."
"Vehicle continues to accelerate after foot off accelerator pedal, causing safety concern, further details needed.","Vehicle continues to accelerate after foot off pedal, safety concern reported, further details needed."
"Fuel fumes entering vehicle cabin causing discomfort, unresolved by dealer servicing, further details needed.","Fuel fumes entering vehicle cabin causing discomfort, unresolved by dealer servicing."
"Brake pedal going to floor while in parking lot reported by consumer, corrective measure taken but problem persists, further details needed.","Brake pedal going to floor in parking lot, corrective measure taken but problem persists, further details needed."
"Unable to set correct AC temperature to defog windows, dealer contact needed for further details.","Unable to set correct AC temperature to defog windows, further details needed."
"Horn malfunctioning in cold weather reported by consumer, intermittent issue, further details needed.","Horn malfunctioning in cold weather, intermittent issue reported, further details needed."
"Vehicle stalling without warning, recurring issue on low fuel, dealer and manufacturer notified, further details needed.","Vehicle stalling without warning, recurring issue on low fuel, further details needed."
"Squeaking noise from suspension and vibration in front end reported by consumer, further details needed.","Squeaking noise from suspension and vibration in front end reported, further details needed."
"Driver side mirror not holding position reported by consumer, loose glass found and mirror replaced by dealer, further details needed.","Driver side mirror not holding position, loose glass found and replaced by dealer, further details needed."
"Window control panel loose in driver's door reported by consumer, dealer unable to find issue, further details needed.","Window control panel loose in driver's door reported, dealer unable to find issue, further details needed."
"Vehicle intermittently failing to start and producing loud noise on startup reported by consumer, further details needed.","Vehicle intermittently failing to start and producing loud noise, further details needed."
"Vehicle jerking when put into reverse reported by consumer, further details needed.","Vehicle jerking when put into reverse, further details needed."
"Vehicle drifting and delayed engagement when shifting into gear reported by consumer, further details needed.","Vehicle drifting and delayed engagement when shifting into gear, further details needed."
"Transmission shifts to neutral when coming to a stop on an incline, causing vehicle to roll backwards. Dealer stated there is a TSB on this issue to refill transmission fluid. Ford has no remedy at this time. Transmission fluid leaks from converter housing into transfer case.","Transmission shifts to neutral on incline, causing vehicle to roll backwards. Dealer mentioned TSB for refilling transmission fluid. Ford has no solution yet. Transmission fluid leaks into transfer case."
"Calipers not catching onto brakes, making it hard for consumer to stop. Dealer notified.","Calipers not catching onto brakes, making it difficult to stop. Dealer notified."
"Brake pedal went all the way to the floor when approaching an intersection, causing vehicle to run on a curb and hit a fire hydrant. Dealership was aware of the problem.","Brake pedal went to the floor approaching an intersection, causing vehicle to hit a curb and fire hydrant. Dealership aware of issue."
"Vehicle accelerated uncontrollably after foot removed from accelerator pedal, causing near collision. Brakes ineffective. Dealer and manufacturer claim nothing wrong with vehicle.","Vehicle accelerated uncontrollably after foot removed from pedal, nearly causing collision. Brakes ineffective. Dealer and manufacturer claim no issue."
"Truck experiences tire or suspension hop/chatter after going over bumps. DOT number on tires made in Canada not located.","Truck experiences tire or suspension hop/chatter over bumps. DOT number on tires made in Canada not found."
"Front passenger-side seat belt locks up in fully retracted position, rendering it unusable.","Front passenger-side seat belt locks up in fully retracted position, unusable."
"Warranty does not cover broken driver's side safety belt, broken air vent, broken sunroof, and failed fuel pump.","Warranty does not cover broken driver's side safety belt, broken air vent, broken sunroof, and failed fuel pump."
"Vehicle swerves and oversteers when maneuvering to avoid obstacle, leading to loss of control. Ford service attributes it to short wheelbase.","Vehicle swerves and oversteers when avoiding obstacle, leading to loss of control. Ford service attributes it to short wheelbase."
"Transmission hesitation causes vehicle to roll either forwards or backwards when shifting from brake to gas pedal. Transmission replaced three times before.","Transmission hesitation causes vehicle to roll forwards or backwards when shifting. Transmission replaced three times before."
"Vehicle stalls frequently, with increasing frequency and intensity over time.","Vehicle stalls frequently, with increasing frequency and intensity."
"Steering wheel locks, vehicle stalls at highway speed, dash lights blink. Dealer unable to unlock steering wheel or start vehicle.","Steering wheel locks, vehicle stalls at highway speed, dash lights blink. Dealer unable to unlock steering wheel or start vehicle."
"Overdrive light flashing then staying on, dealer determines transmission replacement necessary.","Overdrive light flashing then staying on, transmission replacement required."
"Vehicle experiences periods of stalling at low speeds, with loss of brakes and steering. Dealer replaces multiple components but problem persists.","Vehicle stalls at low speeds, with loss of brakes and steering. Multiple components replaced but problem persists."
"Headlights go out while driving at highway speeds, dealer replaces headlamp control and relay.","Headlights go out while driving at highway speeds, headlamp control and relay replaced."
"Vehicle breaks down due to transmission issues, dealer advises transmission replacement necessary.","Vehicle breaks down due to transmission issues, transmission replacement advised."
"Mounting bracket on glass liftgate detaches, causing glass to fall. Ignition switch difficult to turn. Parts unavailable for repair.","Mounting bracket on glass liftgate detaches, causing glass to fall. Ignition switch difficult to turn. Parts unavailable for repair."
"Vehicle surges forward when coming to a stop, dealer unable to diagnose problem.","Vehicle surges forward when stopping, dealer unable to diagnose problem."
"Piston that raises back window detaches, causing window to fly out. Dealer unable to find cause.","Piston that raises back window detaches, causing window to fly out. Dealer unable to find cause."
"High-pitched whining noise develops in rear portion of vehicle while accelerating. Dealer unable to diagnose due to tool availability.","High-pitched whining noise develops in rear portion of vehicle while accelerating. Dealer unable to diagnose due to tool availability."
"Vehicle stalls at multiple speeds, dealer unable to duplicate problem.","Vehicle stalls at multiple speeds, dealer unable to duplicate problem."
"Airbags do not deploy in rear-end collision, causing injury. Dealer aware of problem.","Airbags do not deploy in rear-end collision, causing injury. Dealer aware of problem."
"Vehicle momentarily hesitates before jerking into gear when accelerating from stop. Dealer unable to locate cause.","Vehicle momentarily hesitates before jerking into gear when accelerating from stop. Dealer unable to locate cause."
"The airbag light remains illuminated while driving. The consumer expresses concern about potential safety hazards and recalls a news story about a major pile-up due to fog. Dealer notified.","Airbag light remains on while driving, safety concerns expressed."
"Vehicle stalls while driving at any speed, making it difficult to control. Dealer notified.","Vehicle stalls while driving, difficult to control."
"Fuel sending unit not working properly, causing vehicle to run out of fuel without warning. Dealer notified.","Fuel sending unit malfunction, vehicle runs out of fuel without warning."
"Brakes failed while driving.","Brakes failed, causing loss of braking capability."
"Multiple loose bolts, hoses installed incorrectly, and panels misaligned found during inspection at dealership. Cause of defects unknown.","Multiple defects found during inspection, cause unknown."
"Vehicle veers side to side while driving, despite multiple repair attempts including replacement of steering components. Engineer from Ford found no problem.","Vehicle veers side to side, issue unresolved after multiple repair attempts."
"Brakes simultaneously engage accelerator pedal while attempting to brake, making it difficult to control the vehicle. Dealer notified.","Brakes engage accelerator pedal simultaneously, difficult to control vehicle."
"Transmission jerks and loses power while driving, making it difficult to control the vehicle. Dealer notified.","Transmission jerks, loses power while driving."
"Air conditioner malfunctioning. Dealer notified.","Air conditioner malfunctioning."
"Vehicle rolled at 35 mph twice, airbags did not deploy, causing injuries to head, chest, and legs.","Vehicle rolled, airbags did not deploy, causing injuries."
"Brakes failed, causing brake pedal to move over and on top of gas pedal. Pressure from brake pedal caused vehicle to move on its own.","Brakes failed, pedal moved over gas pedal, vehicle moved on its own."
"ABS light came on for no reason, followed by airbag light. Vehicle then failed to start. Dealer notified multiple times.","ABS and airbag lights came on, vehicle failed to start."
"Rear liftgate spare tire cable split while driving, causing spare tire to collapse. Dealer notified.","Rear liftgate spare tire cable split, spare tire collapsed."
"Rear seat not locked on track, causing seat to move back and forth while vehicle is in motion.","Rear seat not locked on track, moves back and forth while driving."
"Involved in collision, airbags did not deploy, causing substantial injuries.","Collision, airbags did not deploy, substantial injuries sustained."
"Seat belt arrestor charge inadvertently fired when shifting from park into reverse, filling vehicle interior with smoke. Driver's seat belt rendered unusable until repair.","Seat belt arrestor charge fired inadvertently, rendering seat belt unusable."
"Transmission shifting jerky with vibrating feel. Vehicle in for 8th visit for repair attempts.","Transmission shifting jerky, multiple repair attempts made."
"BRAKES FAILED!! Brake pedal moved over accelerator pedal, causing vehicle to move on its own. Brake lights remained on and damaged battery. Consumer requests Ford to buy back the vehicle.","Brakes failed, pedal moved over accelerator, vehicle moved on its own, consumer requests buyback."
"ABS light came on for no reason, followed by airbag light. Vehicle then failed to start. Dealer unable to resolve issue.","ABS and airbag lights came on, vehicle failed to start, issue unresolved."
"Rear liftgate window exploded in consumer's face. Cause of explosion unknown.","Rear liftgate window exploded, cause unknown."
"Faulty anti-theft module making vehicle unable to operate. Ford unable to repair or replace module.","Faulty anti-theft module, Ford unable to repair or replace."
"Front windshield shattered while driving at 35 mph with no warning, causing visual problems.","Front windshield shattered, causing visual problems."
"Steering too sensitive, causing loss of control. Dealer and factory representative found no issue.","Steering too sensitive, loss of control experienced."
"Rear window exploded while opening rear top hatchback. Dealer refusing warranty coverage for repair.","Rear window exploded, dealer refusing warranty coverage."
"Rear window exploded while opening rear top hatchback. Waiting for repair.","Rear window exploded, waiting for repair."
"Vehicle intermittently stalls while driving at multiple speeds. Dealer unable to locate cause of problem.","Vehicle intermittently stalls while driving, cause unknown."
"Vehicle intermittently has extended stopping distance, with squealing brakes and soft pedal. Dealer contacted.","Vehicle intermittently has extended stopping distance, squealing brakes, soft pedal."
"Sunroof rattles while driving. Dealer contacted.","Sunroof rattles while driving."
"Rear window of liftgate shattered while parked with rear window raised, causing minor injuries to occupant. Cause unknown.","Rear window of liftgate shattered while parked, cause unknown."
"Accelerator pedal gets stuck while giving acceleration at any speed, making it hard to stop the vehicle. Dealer notified.","Accelerator pedal gets stuck, hard to stop vehicle."
"The air bag light remains illuminated while driving. Dealer notified.","Air bag light stays illuminated while driving."
"While driving at any speed, the vehicle stalls without warning, making it hard to control. Dealer notified.","Vehicle stalls while driving, hard to control."
"The fuel sending unit is not working properly, causing the vehicle to run out of fuel without warning. Dealer notified.","Fuel sending unit malfunction causes vehicle to run out of fuel without warning."
"The brakes failed, resulting in loss of control of the vehicle.","Brakes failed, resulting in loss of control."
"Multiple defects found including loose bolts, incorrectly installed hoses, and misaligned panels, doors, and grills.","Multiple defects found in vehicle components."
"The vehicle veers side to side, despite multiple repairs to the front end and steering system.","Vehicle veers side to side despite repairs."
"When trying to apply the brakes, the accelerator pedal is simultaneously engaged, making it hard to control the vehicle. Dealer notified.","Brake and accelerator pedals engage simultaneously, hard to control vehicle."
"Problems with the air conditioner reported while driving. Dealer contacted.","Issues with air conditioner reported while driving."
"The vehicle rolled at 35 MPH causing injuries, and the airbags did not deploy.","Vehicle rolled causing injuries, airbags did not deploy."
"BRAKES FAILED!! Brake pedal moved over gas pedal causing vehicle to move on its own. Dealer repaired under warranty.","Brakes failed, causing vehicle to move on its own."
"Transmission hesitates excessively and vehicle lurches forward when shifting between gears.","Transmission hesitates excessively, lurches forward between gears."
"Fuel tank/vapor recovery system design flaw causes vehicle to stall, especially during turns. No fix available yet.","Design flaw in fuel tank/vapor recovery system causes vehicle to stall."
"Spare tire cable split while driving at 15 MPH, causing tire collapse. Dealer notified.","Spare tire cable split, tire collapsed while driving."
"Rear seat is not locked on track, causing it to move back and forth while vehicle is in motion.","Rear seat not locked on track, moves while vehicle in motion."
"Involved in a collision, airbags did not deploy, resulting in substantial injuries.","Airbags did not deploy during collision, resulting in injuries."
"Seat belt arrestor charge fired inadvertently when shifting from park to reverse, filling vehicle interior with smoke. Dealer notified.","Seat belt arrestor charge fired inadvertently, filling vehicle interior with smoke."
"Transmission shifting jerky, vibrating feel. Vehicle in for 8th visit, numerous repair attempts made.","Transmission shifting jerky, numerous repair attempts unsuccessful."
"BRAKES FAILED, causing vehicle to move on its own. Brake pedal moved over accelerator pedal. Dealer contacted.","Brakes failed, causing vehicle to move on its own."
"ABS light came on for no reason, dealership unable to resolve. Airbag light also malfunctioned.","ABS light came on, airbag light malfunctioned, dealership unable to resolve."
"Rear liftgate window exploded in consumer's face, cause unknown. Dealer notified.","Rear liftgate window exploded in consumer's face, cause unknown."
"Faulty anti-theft module makes vehicle unable to operate, no repair or replacement available yet.","Faulty anti-theft module makes vehicle inoperable, no fix available."
"Front windshield shattered while driving at 35 MPH with no warning, causing visual problems. Dealer notified.","Front windshield shattered, causing visual problems."
"Rear window opens on its own, occurred multiple times. Dealer contacted.","Rear window opens on its own, occurred multiple times."
"Vehicle rolls into traffic and hesitates when accelerating from a stop, potential safety hazard. Ford notified.","Vehicle rolls into traffic and hesitates from stop, potential safety hazard."
"Defroster does not work, causing front windshield to fog up during cold weather. Dealer notified.","Defroster does not work, causing front windshield to fog up."
"Steering is too sensitive, causing loss of control. Ford tested and found no issue, blamed sticker warning. Owner disagrees with Ford's assessment.","Steering too sensitive, Ford blames warning sticker, owner disagrees."
"Rear top hatchback window exploded, causing minor injuries. Dealer initially refused warranty repair. Waiting for repair to be completed.","Rear top hatchback window exploded, minor injuries sustained, dealer initially refused warranty repair."
"Rear window shattered while opening, waiting for replacement parts. Recall for similar issue received but not disclosed during purchase.","Rear window shattered while opening, waiting for replacement parts, recall not disclosed during purchase."
"Vehicle intermittently stalls while driving at various speeds, cause unknown. Dealer unable to locate issue.","Vehicle intermittently stalls while driving, cause unknown."
"Extended stopping distance, squealing brakes, and soft brake pedal reported. Dealer contacted.","Extended stopping distance, squealing brakes, and soft brake pedal reported."
"Sunroof rattles while driving. Dealer contacted.","Sunroof rattles while driving, dealer contacted."
"Rear window of liftgate shattered while parked, causing minor injuries. Dealer ordered replacement glass assembly. Cause unknown.","Rear window of liftgate shattered while parked, minor injuries sustained, replacement glass assembly ordered."
"Accelerator pedal gets stuck while accelerating at any speed, making it hard to stop the vehicle. Dealer notified.","Accelerator pedal gets stuck, hard to stop vehicle."
"The contact hears a thumping noise from the rear of the vehicle while driving.","Thumping noise heard from rear while driving."
"The passenger front tire blew out while driving with no warning. Dealer notified.","Passenger front tire blew out while driving."
"The vehicle was involved in a head-on collision in which the airbags did not deploy.","Airbags did not deploy in head-on collision."
"Ford informed the contact that a new transmission is needed for their 2002 Ford Explorer with only 50,000 miles.","Transmission replacement needed for low mileage Explorer."
"The contact, leasing a 2002 Ford Explorer, was mandated to purchase two insurance policies totaling over $1,000 by the Ford finance manager.","Mandatory purchase of insurance policies for leased Explorer."
